location_id,location_name,location_type,total_cases
45083,"Spartanburg, South Carolina",county,940
48165,"Gaines, Texas",county,414
04015,"Mohave, Arizona",county,285
00000,"Southwest Health District, Utah",county,267
00000,"Central Region, Virginia",county,156
48229,"Hudspeth, Texas",county,136
49049,"Utah, Utah",county,116
00000,"Central, Utah",county,108
42071,"Lancaster, Pennsylvania",county,99
12021,"Collier, Florida",county,93
48141,"El Paso, Texas",county,85
00000,"Tricounty, Utah",county,80
35025,"Lea, New Mexico",county,67
49035,"Salt Lake, Utah",county,66
48445,"Terry, Texas",county,60
48303,"Lubbock, Texas",county,53
45021,"Cherokee, South Carolina",county,36
55083,"Oconto, Wisconsin",county,36
20069,"Gray, Kansas",county,29
48277,"Lamar, Texas",county,28
00027,"Unknown County, Minnesota",county,28
00041,"Unknown County, Oregon",county,27
36061,"New York City, New York",county,26
48115,"Dawson, Texas",county,26
35029,"Luna, New Mexico",county,26
04013,"Maricopa, Arizona",county,25
36087,"Rockland, New York",county,25
38067,"Pembina, North Dakota",county,23
30031,"Gallatin, Montana",county,23
00020,"Unknown County, Kansas",county,21
48501,"Yoakum, Texas",county,20
42075,"Lebanon, Pennsylvania",county,20
42029,"Chester, Pennsylvania",county,19
20081,"Haskell, Kansas",county,19
38105,"Williams, North Dakota",county,19
49045,"Tooele, Utah",county,19
39007,"Ashtabula, Ohio",county,19
04021,"Pinal, Arizona",county,18
40109,"Unknown County, Oklahoma",county,18
53011,"Clark, Washington",county,16
53061,"Snohomish, Washington",county,16
49011,"Davis, Utah",county,15
39083,"Knox, Ohio",county,14
49000,"Bear River, Utah",county,14
48079,"Cochran, Texas",county,14
39049,"Franklin, Ohio",county,14
38035,"Grand Forks, North Dakota",county,14
06067,"Sacramento, California",county,13
13121,"Fulton, Georgia",county,13
48135,"Ector, Texas",county,12
49051,"Wasatch, Utah",county,12
48201,"Harris, Texas",county,12
06037,"Los Angeles, California",county,12
08077,"Mesa, Colorado",county,11
53033,"King, Washington",county,10
00027,"Twin Cities Metro Area, Minnesota",county,10
20189,"Stevens, Kansas",county,10
06089,"Shasta, California",county,10
00000,"Northern Region, Virginia",county,9
00000,"Northwest Region, Virginia",county,9
48309,"McLennan, Texas",county,9
06061,"Placer, California",county,9
08001,"Adams, Colorado",county,9
48491,"Williamson, Texas",county,8
48397,"Rockwall, Texas",county,8
45045,"Greenville, South Carolina",county,8
42049,"Erie, Pennsylvania",county,8
46083,"Lincoln, South Dakota",county,8
18003,"Allen, Indiana",county,8
38017,"Cass, North Dakota",county,8
17031,"Cook, Illinois",county,8
10001,"Kent, Delaware",county,8
53071,"Walla Walla, Washington",county,7
53037,"Kittitas, Washington",county,7
56007,"Carbon, Wyoming",county,7
42097,"Northumberland, Pennsylvania",county,7
37021,"Buncombe, North Carolina",county,7
26133,"Osceola, Michigan",county,7
26161,"Washtenaw, Michigan",county,7
30049,"Lewis and Clark, Montana",county,7
00045,"Unknown County, South Carolina",county,7
48219,"Hockley, Texas",county,7
48329,"Midland, Texas",county,7
48111,"Dallam, Texas",county,7
20145,"Pawnee, Kansas",county,7
12031,"Duval, Florida",county,7
12011,"Broward, Florida",county,7
42133,"York, Pennsylvania",county,7
16027,"Canyon, Idaho",county,6
20097,"Kiowa, Kansas",county,6
16021,"Boundary, Idaho",county,6
00000,"Southwest Region, Virginia",county,6
56013,"Fremont, Wyoming",county,6
12103,"Pinellas, Florida",county,6
38073,"Ransom, North Dakota",county,6
08123,"Weld, Colorado",county,6
00024,"Central Region, Maryland",county,6
06065,"Riverside, California",county,6
06059,"Orange, California",county,6
08005,"Arapahoe, Colorado",county,6
05045,"Faulkner, Arkansas",county,6
35043,"Sandoval, New Mexico",county,6
45077,"Pickens, South Carolina",county,6
08065,"Lake, Colorado",county,6
46051,"Grant, South Dakota",county,6
21067,"Fayette, Kentucky",county,6
00019,"Eastern, Iowa",county,6
35013,"Dona Ana, New Mexico",county,5
37149,"Polk, North Carolina",county,5
29039,"Cedar, Missouri",county,5
04005,"Coconino, Arizona",county,5
23019,"Penobscot, Maine",county,5
16019,"Bonneville, Idaho",county,5
35049,"Santa Fe, New Mexico",county,5
48369,"Parmer, Texas",county,5
48189,"Hale, Texas",county,5
12033,"Escambia, Florida",county,5
00017,"Unknown County, Illinois",county,5
39035,"Cuyahoga, Ohio",county,5
00000,"Southeast Health District, Utah",county,5
56039,"Teton, Wyoming",county,5
49043,"Summit, Utah",county,5
48459,"Upshur, Texas",county,5
48019,"Bandera, Texas",county,5
00000,"Upper Cumberland Region, Tennessee",county,4
00000,"Mid-Cumberland Region, Tennessee",county,4
48439,"Tarrant, Texas",county,4
00006,"Unknown County, California",county,4
48381,"Randall, Texas",county,4
42011,"Berks, Pennsylvania",county,4
08083,"Montezuma, Colorado",county,4
36071,"Orange, New York",county,4
48147,"Fannin, Texas",county,4
42091,"Montgomery, Pennsylvania",county,4
08041,"El Paso, Colorado",county,4
30041,"Hill, Montana",county,4
26117,"Montcalm, Michigan",county,4
08014,"Broomfield, Colorado",county,4
08031,"Denver, Colorado",county,4
04019,"Pima, Arizona",county,4
04017,"Navajo, Arizona",county,4
26055,"Grand Traverse, Michigan",county,4
26139,"Ottawa, Michigan",county,4
46019,"Butte, South Dakota",county,4
48085,"Collin, Texas",county,4
26081,"Kent, Michigan",county,4
26099,"Macomb, Michigan",county,4
17199,"Williamson, Illinois",county,4
34003,"Bergen, New Jersey",county,4
30111,"Yellowstone, Montana",county,4
21113,"Jessamine, Kentucky",county,4
48029,"Bexar, Texas",county,3
06081,"San Mateo, California",county,3
00019,"Central, Iowa",county,3
42063,"Indiana, Pennsylvania",county,3
12101,"Pasco, Florida",county,3
35015,"Eddy, New Mexico",county,3
49037,"San Juan, Utah",county,3
12099,"Palm Beach, Florida",county,3
53065,"Stevens, Washington",county,3
48453,"Travis, Texas",county,3
12095,"Orange, Florida",county,3
12109,"St. Johns, Florida",county,3
12081,"Manatee, Florida",county,3
15003,"Honolulu, Hawaii",county,3
00036,"Unknown County, New York",county,3
00031,"Unknown County, Nebraska",county,3
48317,"Martin, Texas",county,3
48339,"Montgomery, Texas",county,3
24510,"Baltimore, Maryland",county,3
16065,"Madison, Idaho",county,3
45085,"Sumter, South Carolina",county,3
39119,"Muskingum, Ohio",county,3
37119,"Mecklenburg, North Carolina",county,3
06085,"Santa Clara, California",county,3
21239,"Woodford, Kentucky",county,3
22071,"Region 1, Louisiana",county,3
44007,"Providence, Rhode Island",county,3
46011,"Brookings, South Dakota",county,3
26121,"Muskegon, Michigan",county,3
00034,"Unknown County, New Jersey",county,3
02020,"Anchorage, Alaska",county,3
34017,"Hudson, New Jersey",county,3
48003,"Andrews, Texas",county,3
12071,"Lee, Florida",county,3
12057,"Hillsborough, Florida",county,3
53063,"Spokane, Washington",county,2
00000,"Eastern Region, Virginia",county,2
53073,"Whatcom, Washington",county,2
12086,"Miami-Dade, Florida",county,2
12073,"Leon, Florida",county,2
